Gene,Source,Reason,,,
TTN,10.1186/s12920-014-0064-y;10.1038/nature12213,TOP20FLAGS;OTHER,,,
MUC16,10.1186/s12920-014-0064-y;10.1038/nature12213,TOP20FLAGS;OTHER,,,
OBSCN,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
AHNAK2,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
SYNE1,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
FLG,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
MUC5B,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
DNAH17,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
PLEC,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
DST,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
SYNE2,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
NEB,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
HSPG2,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
LAMA5,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
AHNAK,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
HMCN1,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
USH2A,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
DNAH11,10.1186/s12920-014-0064-y;10.1038/nature12213,TOP20FLAGS;OTHER,,,
MACF1,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
MUC17,10.1186/s12920-014-0064-y,TOP20FLAGS,,,
OR2G6,10.1038/nature12213,OLFACTORY,,,
OR4C6,10.1038/nature12213,OLFACTORY,,,
OR4M2,10.1038/nature12213,OLFACTORY,,,
OR5L2,10.1038/nature12213,OLFACTORY,,,
OR2T4,10.1038/nature12213,OLFACTORY,,,
OR5D18,10.1038/nature12213,OLFACTORY,,,
OR4A15,10.1038/nature12213,OLFACTORY,,,
OR6F1,10.1038/nature12213,OLFACTORY,,,
OR2T33,10.1038/nature12213,OLFACTORY,,,
OR4S2,10.1038/nature12213,OLFACTORY,,,
OR11L1,10.1038/nature12213,OLFACTORY,,,
OR4M1,10.1038/nature12213,OLFACTORY,,,
OR5T1,10.1038/nature12213,OLFACTORY,,,
OR8J3,10.1038/nature12213,OLFACTORY,,,
OR51B2,10.1038/nature12213,OLFACTORY,,,
OR8H2,10.1038/nature12213,OLFACTORY,,,
OR9G9,10.1038/nature12213,OLFACTORY,,,
OR4N2,10.1038/nature12213,OLFACTORY,,,
OR10G9,10.1038/nature12213,OLFACTORY,,,
OR5I1,10.1038/nature12213,OLFACTORY,,,
OR14A16,10.1038/nature12213,OLFACTORY,,,
OR2M2,10.1038/nature12213,OLFACTORY,,,
OR5B12,10.1038/nature12213,OLFACTORY,,,
OR5M9,10.1038/nature12213,OLFACTORY,,,
OR4C11,10.1038/nature12213,OLFACTORY,,,
OR1C1,10.1038/nature12213,OLFACTORY,,,
OR4N4,10.1038/nature12213,OLFACTORY,,,
OR5J2,10.1038/nature12213,OLFACTORY,,,
OR2G3,10.1038/nature12213,OLFACTORY,,,
OR10G8,10.1038/nature12213,OLFACTORY,,,
OR5W2,10.1038/nature12213,OLFACTORY,,,
OR2T3,10.1038/nature12213,OLFACTORY,,,
OR10AG1,10.1038/nature12213,OLFACTORY,,,
OR4K1,10.1038/nature12213,OLFACTORY,,,
OR2M7,10.1038/nature12213,OLFACTORY,,,
