cytoband	9p21.3	10q23.31	1p36.23	6q26	10q26.3	13q14.2	19q13.41	1p32.3	15q14	14q13.1	22q13.32	4q34.3	17p13.1	17q11.2	8p23.2	3q29	13q22.1	10p13	5q34	14q24.2	1p36.32	18q22.3	1p22.1	12q12	3q13.31	10p15.3	2q22.1	16p12.2	10p11.23	12p13.1	11p15.5	2q37.1	1q42.11	16q23.1	6q22.1	11p11.2	1q44	3p21.1	9q34.2	21q21.1	4p16.3	11q14.1	12q15	10q11.23	
q value	0	2.1176e-66	2.9271e-58	4.6566e-34	6.904e-29	2.1409e-24	1.1859e-15	2.4156e-15	3.453e-12	6.1078e-13	3.4736e-11	1.3829e-09	8.868e-08	6.0683e-06	6.8443e-06	3.2518e-06	4.92e-12	3.4354e-05	0.00031494	5.7274e-07	2.0772e-26	0.0012983	6.3283e-06	4.329e-05	0.00094652	0.00077836	0.0047146	0.0057085	0.0011535	0.0061973	0.0048476	0.0054967	0.00056261	0.023089	1.056e-05	0.014054	0.0061479	0.056565	0.066779	0.11207	0.12932	0.13335	0.0052524	0.0022716	
residual q value	0	3.4172e-62	3.6181e-43	1.2293e-30	4.6734e-20	1.1294e-16	1.1368e-15	1.9805e-12	3.453e-12	8.9557e-12	3.4707e-11	1.3829e-09	9.0384e-08	5.9201e-06	6.592e-06	2.7636e-05	4.0977e-05	0.00026276	0.00031184	0.00057252	0.00083454	0.0012972	0.001433	0.001433	0.0030675	0.0044421	0.0054836	0.0057085	0.0063053	0.0063053	0.006739	0.0072604	0.012448	0.022993	0.026701	0.032039	0.047674	0.055232	0.067089	0.11185	0.13074	0.14471	0.16776	0.21257	
wide peak boundaries	chr9:21227468-23690570	chr10:89617158-89755074	chr1:7908902-8336254	chr6:163736503-164264583	chr10:135190263-135214343	chr13:48875329-49064807	chr19:51485195-51915080	chr1:50879767-51529064	chr15:33485762-45387898	chr14:33297556-34394000	chr22:48668761-51304566	chr4:179280062-182757119	chr17:7528230-7591760	chr17:29326736-29722618	chr8:3548028-4251283	chr3:190375525-197029425	chr13:50260906-77454480	chr10:12616863-12768978	chr5:161581324-167461839	chr14:63563582-107349540	chr1:3394251-6475685	chr18:67995567-74327801	chr1:92759774-93924485	chr12:42982652-46578647	chr3:112218119-131254431	chr10:1050841-2048902	chr2:140708948-143637838	chr16:20579968-27090703	chr10:29862242-30302313	chr12:9038586-19587581	chr11:1-7261375	chr2:233547367-233727481	chr1:211999806-227178961	chr16:70833950-90354753	chr6:109483624-147834826	chr11:37721288-46879516	chr1:245868364-247265054	chr3:41907780-56593629	chr9:136602059-136892308	chr21:1-26575481	chr4:1197147-1284820	chr11:78285273-81604120	chr12:58369934-69140499	chr10:51580019-52578111	
genes in wide peak	DMRTA1	SNORD74|ENSG00000200891.1	RN7SL729P	RN7SL366P	PAOX	RB1	SIGLEC22P	MIR4421	SORD	NPAS3	ARSA	RN7SKP13	ATP1B2	EVI2A	RN7SL872P	MIR4797	RN7SL571P	MIR4480	SNORA40|ENSG00000253065.1	RNA5SP389	LINC00337	ZNF516	DR1	SCAF11	SNORA58|ENSG00000249020.1	ADARB2	RN7SL283P	C16orf82	SNORD115|ENSG00000212411.1	RN7SL67P	GVINP1	KCNJ13	RN7SKP165	FAM157C	STXBP5	SNORD67|ENSG00000212135.1	ZNF670	RNA5SP133	VAV2	RNA5SP489	CTBP1	TENM4	SNORA70G	RMRPP4	
	RN7SL151P	PTEN	TNFRSF9	CAHM		LPAR6	SIGLEC17P	CDKN2C	B2M		RN7SL500P	LINC00290	TP53	EVI2B	RNA5SP251	U4|ENSG00000272359.1	LINC00561	MIR548Q	RN7SKP60	LINC00221	RN7SL574P	SMIM21	RN7SKP123	RN7SL246P	RN7SKP212	IDI1	LRP1B	RNA5SP405	MIR938	RN7SL459P	TAF10	GIGYF2	snoU13|ENSG00000239094.1	TUBB8P7	RNA5SP222	SNORD67|ENSG00000252427.1	SNORA25|ENSG00000252011.1	RN7SKP45		7SK|ENSG00000232512.2		MIR708	DYRK2	RNA5SP317	
	SNORD39|ENSG00000264379.1	KLLN	PARK7	QKI			KLK13	FAF1	RN7SL347P		DENND6B	SNORD65|ENSG00000212191.1	SAT2	NF1		RN7SL738P	C13orf45		NUDCD2	LINC00226	MIR551A	ZADH2	RN7SL692P	RNA5SP361	COL6A4P2	WDR37		MIR548W		ERP27	RRP8		snoU13|ENSG00000238545.1	URAHP	FBXO30	MIR5582	SNORD112|ENSG00000252495.1	MIR3938		RN7SL609P		MIR4300	CAND1	LINC00843	
	MIR31HG		ERRFI1				KLK9	DMRTA2	HYPK		TTLL8	RNA5SP173		OMG		RN7SL434P	LINC00347		CCNG1	ADAM6	MEGF6	RN7SL551P	SNORA51|ENSG00000207022.1	NELL2	FAM86HP	IDI2		RN7SL557P		ART4	TIMM10B		MIR4742	TUBB3	STX11	HARBI1	AHCTF1	ESRG		LINC00308		MIR5579	snoU13|ENSG00000238528.1	SNORA74|ENSG00000223111.1	
	IFNA6						CD33		CATSPER2P1		ALG12			MIR4733		UBXN7	LINC00381		HMMR	KIAA0125	DFFB	RN7SL401P	SNORA66|ENSG00000207523.1	TWF1	ALG1L2	LINC00200		SNORA1|ENSG00000201541.1		C12orf60	RNA5SP329		snoU13|ENSG00000238856.1	SNORD68	PEX3	MIR4688	SCCPDH	CHDH		LINC00317			RN7SKP166	ASAH2	
	KLHL9						ETFB		snoU13|ENSG00000238494.1		RN7SKP252					SDHAP1	RNY1P5		MAT2B	IGHJ1	RPL22	MIR548AV	SNORA66|ENSG00000251795.1	PLEKHA8P1	RN7SL752P			DCTN5		RN7SKP134	TRIM34		MIR320B2	SLC22A31	RNA5SP221	PHF21A	ZNF695	SNORD63|ENSG00000251987.1		LINC00320			TMBIM4	SGMS1	
	CDKN2A						LIM2		snoU13|ENSG00000238535.1		ACR					RN7SL773P	LINC00402			IGHJ2	TP73	RNA5SP460	SNORD21	IRAK4	SNORA7B			SNORA75|ENSG00000212593.1		PLBD1	OR51J1		SNORA72|ENSG00000201898.1	MIR4722	ADAT2	CHST1	TFB2M	SNORA26|ENSG00000212608.1		RN7SKP147			RNA5SP362	FAM21A	
	CDKN2B						NKG7		RN7SL487P		CHKB					LINC00969	LINC00392			IGHJ3	KCNAB2	RN7SL795P	RN7SL824P	ADAMTS20	RPL32P3			RN7SKP23		RPL30P11	OR51B5		RN7SKP49	MIR5189	VTA1	CD82	SMYD3	SNORD38|ENSG00000207109.1		RN7SL163P			RPSAP52	AGAP6	
	IFNA1						KLK10		CCNDBP1		CPT1B					RNU6ATAC24P	LINC00393			IGHJ4	CEP104	CYB5A	RPAP2	PUS7L	snoU13|ENSG00000238874.1			RN7SL245P		RN7SL676P	HBG1		CAPN8	ZFPM1	GJE1	C11orf96	CNST	RN7SL821P		SNORD74|ENSG00000201025.1			RNU6ATAC42P	ASAH2B	
